Sample ,Sample Type,Reference,Gly,D&L-Ser,D&L-Ala,D&L-Asp,D&L-Glu,D&L-valine,Type,EE=1 means fully racemic
Natural sample,Hydrothermal vent,Takano et al 2004,0.37,0.15,0.2,0.09,0.12,0.07,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.29,0.15,0.13,0.17,0.14,0.11,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.35,0.13,0.18,0.13,0.15,0.06,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.53,0.08,0.28,0.02,0.04,0.06,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.4,0.11,0.19,0.1,0.12,0.08,B,
Natural sample,Hydrothermal vent,Takano et al 2004,0.41,0.11,0.2,0.08,0.11,0.09,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.37,0.21,0.16,0.07,0.09,0.11,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.32,0.17,0.13,0.1,0.11,0.17,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.53,0.12,0.22,0.02,0.03,0.08,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.35,0.15,0.19,0.07,0.14,0.1,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.35,0.13,0.2,0.13,0.13,0.06,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.35,0.13,0.16,0.1,0.16,0.1,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.36,0.13,0.2,0.12,0.16,0.04,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.35,0.14,0.08,0.17,0.08,0.18,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.41,0.11,0.27,0.08,0.09,0.04,B,
Natural sample,Hydrothermal vent APSK 09 at Suiyo seamount,Takano et al 2004,0.44,0.08,0.23,0.11,0.1,0.04,B,
Natural sample,Hydrothermal vent APSK 9 at Suiyo seamount,Takano et al 2004,0.34,0.14,0.23,0.12,0.1,0.07,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2005,0.32,0.24,0.16,0.06,0.11,0.11,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2006,0.63,0.1,0.1,0.04,0.1,0.04,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2007,0.59,0.15,0.14,0.05,0.05,0.02,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2008,0.54,0.1,0.07,0.13,0.11,0.04,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2009,0.44,0.11,0.05,0.14,0.12,0.13,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2010,0.43,0.14,0.07,0.17,0.14,0.05,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2011,0.38,0.23,0.1,0.12,0.08,0.08,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2012,0.42,0.11,0.19,0.11,0.11,0.06,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2013,0.29,0.13,0.23,0.13,0.14,0.08,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2014,0.34,0.18,0.21,0.04,0.18,0.05,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2015,0.37,0.1,0.21,0.04,0.18,0.1,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2016,0.4,0.08,0.18,0.13,0.12,0.09,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2017,0.36,0.09,0.21,0.03,0.15,0.17,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2018,0.29,0.19,0.1,0.01,0.03,0.39,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2019,0.41,0.21,0.15,0.18,0.01,0.04,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2020,0.3,0.15,0.21,0.06,0.16,0.12,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2021,0.13,0.06,0.09,0.06,0.62,0.04,B,
Natural sample,Hydrothermal vent APSK 10 at Suiyo seamount,Takano et al 2022,0.38,0.14,0.18,0.07,0.15,0.09,B,
